Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2020,Oman,75909397659,16707.62301,4543399.0,15.44277,..,48.37543869,Asia
2020,Qatar,1.44411E+11,52315.66008,2760385.0,9.319109917,..,23.76491928,Asia
2020,Singapore,3.49488E+11,61466.80368,5685807.0,11.21518135,..,93.13477325,Asia
2020,United Arab Emirates,3.49473E+11,37629.17417,9287289.0,12.79823017,..,52.70621872,Asia
2020,Afghanistan,19955929052,512.055098,38972230.0,..,..,10.8584404,Asia
2020,Bangladesh,3.73979E+11,2233.767282,167420951.0,10.38700008,..,22.53899956,Asia
2020,"Egypt, Arab Rep.",3.83818E+11,3571.556907,107465134.0,..,..,40.01293945,Africa
2020,"Iran, Islamic Rep.",2.39735E+11,2746.419483,87290193.0,22.66550064,..,57.34032822,Asia
2020,Iraq,1.80899E+11,4250.742908,42556984.0,..,..,..,Asia
2020,Jordan,43700383099,3998.673138,10928721.0,..,..,32.66852951,Asia
2020,Lebanon,31712128254,5599.957523,5662923.0,9.897999763,..,51.6985817,Asia
2020,Malaysia,3.37456E+11,10164.34443,33199993.0,15.61563969,..,42.40999985,Asia
2020,Pakistan,3.00426E+11,1322.314785,227196741.0,10.79599953,..,11.94423962,Asia
2020,Philippines,3.61751E+11,3224.422811,112190977.0,16.97400093,..,32.84700012,Asia
2020,South Africa,3.38291E+11,5753.066494,58801927.0,18.48413086,..,25.12968063,Africa
2020,Sri Lanka,84304298771,3846.174496,21919000.0,5.468999863,..,20.81200027,Asia
2020,Thailand,5.00462E+11,7001.850287,71475664.0,12.28408241,..,48.01499939,Asia
2020,Bahrain,34621807713,23433.18724,1477469.0,9.366999626,..,56.63399887,Asia
2020,"Hong Kong SAR, China",3.44943E+11,46109.22999,7481000.0,12.821702,..,89.94789886,Asia
2020,Albania,15162734205,5343.037704,2837849.0,10.1343832,..,61.39257813,Europe
2020,Algeria,1.64873E+11,3794.409524,43451666.0,16.54899979,..,53.61402893,Africa
2020,American Samoa,721000000,15609.77722,46189.0,..,..,..,Oceania
2020,Andorra,2891001149,37207.222,77700.0,8.991999626,..,15.09827042,Europe
2020,Angola,48501561204,1450.905111,33428486.0,6.467000008,..,..,Africa
2020,Antigua and Barbuda,1410796296,15224.85859,92664.0,7.379000187,..,..,North America
2020,Argentina,3.85741E+11,8500.837939,45376763.0,12.42228985,..,99.26622772,South America
2020,Armenia,12641698583,4505.867742,2805608.0,9.572380066,..,53.30612946,Asia
2020,Aruba,2558906304,24008.12782,106585.0,..,..,..,North America
2020,Australia,1.33038E+12,51868.24756,25649248.0,14.45625305,..,110.1392212,Oceania
2020,Austria,4.35049E+11,48789.49785,8916864.0,8.949609756,..,88.7071991,Europe
2020,Azerbaijan,42693000000,4229.910649,10093121.0,9.802010536,..,36.15219879,Asia
2020,"Bahamas, The",9958200000,24499.16476,406471.0,12.18200016,..,..,North America
2020,Barbados,4779756550,17028.41378,280693.0,16.14246941,..,..,North America
2020,Belarus,61371755326,6542.86454,9379952.0,12.87037659,..,76.89089203,Europe
2020,Belgium,5.26022E+11,45587.96831,11538604.0,11.14883709,..,79.49960327,Europe
2020,Belize,2047727810,5185.15807,394921.0,18.99353981,..,25.70165062,North America
2020,Benin,15686741884,1240.733155,12643123.0,..,..,10.80247974,Africa
2020,Bermuda,6887147000,107791.8864,63893.0,12.28600025,..,..,North America
2020,Bhutan,2457604042,3181.339747,772506.0,18.54899979,..,16.85000038,Asia
2020,Bolivia,36629843806,3068.812555,11936162.0,22.21692085,..,..,South America
2020,Bosnia and Herzegovina,20226036564,6095.104237,3318407.0,..,..,40.88134003,Europe
2020,Botswana,14960291106,5875.070435,2546402.0,21.46500015,..,24.01279068,Africa
2020,Brazil,1.47611E+12,6923.699912,213196304.0,11.56258965,..,54.57279968,South America
2020,British Virgin Islands,..,..,30910.0,11.86400032,..,32.4414711,North America
2020,Bulgaria,70368758395,10148.3424,6934015.0,9.456896782,..,74.37622833,Europe
2020,Burkina Faso,17725010531,823.5524109,21522626.0,21.11199951,..,7.683710098,Africa
2020,Burundi,2649680261,216.8274175,12220227.0,20.74200058,..,..,Africa
2020,Cabo Verde,1821565614,3126.399859,582640.0,17.09000015,..,..,Africa
2020,Cambodia,25872797892,1577.91174,16396860.0,17.16799927,..,14.44099998,Asia
2020,Cameroon,40773241177,1539.130545,26491087.0,14.45100021,..,..,Africa
2020,Canada,1.65568E+12,43537.8393,38028638.0,9.877542496,..,74.15714264,North America
